inst_id	cell_id	det_plate	det_well	pert_mfc_id	pert_dose	pert_dose_unit	pert_id	pert_iname	pert_type	pert_time	pert_time_unit
LJP007_HEPG2_24H_X1_B20:N19	HEPG2	LJP007_HEPG2_24H_X1_B20	N19	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X1_B20:N20	HEPG2	LJP007_HEPG2_24H_X1_B20	N20	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X1_B20:N21	HEPG2	LJP007_HEPG2_24H_X1_B20	N21	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X1_B20:N22	HEPG2	LJP007_HEPG2_24H_X1_B20	N22	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X1_B20:N23	HEPG2	LJP007_HEPG2_24H_X1_B20	N23	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X1_B20:N24	HEPG2	LJP007_HEPG2_24H_X1_B20	N24	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:A05	HEPG2	LJP007_HEPG2_24H_X2_B20	A05	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:A06	HEPG2	LJP007_HEPG2_24H_X2_B20	A06	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:B05	HEPG2	LJP007_HEPG2_24H_X2_B20	B05	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:B06	HEPG2	LJP007_HEPG2_24H_X2_B20	B06	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:F07	HEPG2	LJP007_HEPG2_24H_X2_B20	F07	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:F08	HEPG2	LJP007_HEPG2_24H_X2_B20	F08	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:F09	HEPG2	LJP007_HEPG2_24H_X2_B20	F09	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:F10	HEPG2	LJP007_HEPG2_24H_X2_B20	F10	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:F11	HEPG2	LJP007_HEPG2_24H_X2_B20	F11	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:F12	HEPG2	LJP007_HEPG2_24H_X2_B20	F12	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:J13	HEPG2	LJP007_HEPG2_24H_X2_B20	J13	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:J14	HEPG2	LJP007_HEPG2_24H_X2_B20	J14	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:J15	HEPG2	LJP007_HEPG2_24H_X2_B20	J15	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:J16	HEPG2	LJP007_HEPG2_24H_X2_B20	J16	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:J17	HEPG2	LJP007_HEPG2_24H_X2_B20	J17	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:J18	HEPG2	LJP007_HEPG2_24H_X2_B20	J18	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:N19	HEPG2	LJP007_HEPG2_24H_X2_B20	N19	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:N20	HEPG2	LJP007_HEPG2_24H_X2_B20	N20	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:N21	HEPG2	LJP007_HEPG2_24H_X2_B20	N21	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:N22	HEPG2	LJP007_HEPG2_24H_X2_B20	N22	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:N23	HEPG2	LJP007_HEPG2_24H_X2_B20	N23	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X2_B20:N24	HEPG2	LJP007_HEPG2_24H_X2_B20	N24	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:A05	HEPG2	LJP007_HEPG2_24H_X3_B20	A05	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:A06	HEPG2	LJP007_HEPG2_24H_X3_B20	A06	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:B05	HEPG2	LJP007_HEPG2_24H_X3_B20	B05	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:B06	HEPG2	LJP007_HEPG2_24H_X3_B20	B06	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:F07	HEPG2	LJP007_HEPG2_24H_X3_B20	F07	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:F08	HEPG2	LJP007_HEPG2_24H_X3_B20	F08	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:F09	HEPG2	LJP007_HEPG2_24H_X3_B20	F09	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:F10	HEPG2	LJP007_HEPG2_24H_X3_B20	F10	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:F11	HEPG2	LJP007_HEPG2_24H_X3_B20	F11	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:F12	HEPG2	LJP007_HEPG2_24H_X3_B20	F12	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:J13	HEPG2	LJP007_HEPG2_24H_X3_B20	J13	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:J14	HEPG2	LJP007_HEPG2_24H_X3_B20	J14	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:J15	HEPG2	LJP007_HEPG2_24H_X3_B20	J15	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:J16	HEPG2	LJP007_HEPG2_24H_X3_B20	J16	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:J17	HEPG2	LJP007_HEPG2_24H_X3_B20	J17	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:J18	HEPG2	LJP007_HEPG2_24H_X3_B20	J18	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:N19	HEPG2	LJP007_HEPG2_24H_X3_B20	N19	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:N20	HEPG2	LJP007_HEPG2_24H_X3_B20	N20	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:N21	HEPG2	LJP007_HEPG2_24H_X3_B20	N21	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:N22	HEPG2	LJP007_HEPG2_24H_X3_B20	N22	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:N23	HEPG2	LJP007_HEPG2_24H_X3_B20	N23	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP007_HEPG2_24H_X3_B20:N24	HEPG2	LJP007_HEPG2_24H_X3_B20	N24	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP008_HEPG2_24H_X1_B20:A05	HEPG2	LJP008_HEPG2_24H_X1_B20	A05	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP008_HEPG2_24H_X1_B20:A06	HEPG2	LJP008_HEPG2_24H_X1_B20	A06	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP008_HEPG2_24H_X1_B20:B05	HEPG2	LJP008_HEPG2_24H_X1_B20	B05	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP008_HEPG2_24H_X1_B20:B06	HEPG2	LJP008_HEPG2_24H_X1_B20	B06	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP008_HEPG2_24H_X1_B20:F07	HEPG2	LJP008_HEPG2_24H_X1_B20	F07	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP008_HEPG2_24H_X1_B20:F08	HEPG2	LJP008_HEPG2_24H_X1_B20	F08	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP008_HEPG2_24H_X1_B20:F09	HEPG2	LJP008_HEPG2_24H_X1_B20	F09	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP008_HEPG2_24H_X1_B20:F10	HEPG2	LJP008_HEPG2_24H_X1_B20	F10	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
LJP008_HEPG2_24H_X1_B20:F11	HEPG2	LJP008_HEPG2_24H_X1_B20	F11	DMSO	-666.0	-666	DMSO	DMSO	ctl_vehicle	24.0	h
